file,slug,title,year,discipline,medium,dimensions,materials,edition,status,location,project,series,description,images,tags,external_links,notes
content/oeuvre/printmaking/2016/day-hike/index.md,day-hike,Day Hike,2016,2016,,,,,,,,,,,,,
content/oeuvre/printmaking/2016/alligator-juniper-2/index.md,alligator-juniper-2,Alligator Juniper (Adobe Canyon),2016,2016,,,,,,,,,,,,,
content/oeuvre/printmaking/2016/boom-box/index.md,boom-box,Boom Box,2016,2016,,,,,,,,,,,,,
content/oeuvre/printmaking/2016/air-lift/index.md,air-lift,Air Lift,2016,2016,,,,,,,,,,,,,
content/oeuvre/printmaking/2018/teardrop/index.md,teardrop,Teardrop,2018,2018,,,,,,,,,,,,,
content/oeuvre/printmaking/2018/lunarem/index.md,lunarem,Lunarem,2018,2018,,,,,,,,,,,,,
content/oeuvre/printmaking/2018/aeropress/index.md,aeropress,Aeropress,2018,2018,,,,,,,,,,,,,
content/oeuvre/printmaking/2018/deep-sea/index.md,deep-sea,Deep Sea,2018,2018,,,,,,,,,,,,,
content/oeuvre/printmaking/2018/field-theory-ap/index.md,field-theory-ap,Field Theory AP,2018,2018,,,,,,,,,,,,,
content/oeuvre/printmaking/2018/kite/index.md,kite,Kite,2018,2018,,,,,,,,,,,,,
content/oeuvre/printmaking/2018/120-volts/index.md,120-volts,120 Volts,2018,2018,,,,,,,,,,,,,
content/oeuvre/printmaking/2018/stole-the-rainbow/index.md,stole-the-rainbow,Stole the Rainbow,2018,2018,,,,,,,,,,,,,
content/oeuvre/printmaking/2018/tecate/index.md,tecate,Tecate,2018,2018,,,,,,,,,,,,,
content/oeuvre/printmaking/2018/alligator-juniper/index.md,alligator-juniper,Alligator Juniper,2018,2018,,,,,,,,,,,,,
content/oeuvre/printmaking/2020/alligator-juniper-nogal/index.md,alligator-juniper-nogal,Alligator Juniper,2020,2020,,,,,,,,,,,,,
content/oeuvre/printmaking/2021/expansion-drypoint/index.md,expansion-drypoint,expansion drypoint,2021,2021,,,,,,,,,,,,,
content/oeuvre/printmaking/2021/rocks-glass/index.md,rocks-glass,rocks glass,2021,2021,,,,,,,,,,,,,
content/oeuvre/printmaking/2021/butterfly-conundrum/index.md,butterfly-conundrum,butterfly conundrum,2021,2021,,,,,,,,,,,,,
content/oeuvre/printmaking/2021/lunar-lander/index.md,lunar-lander,lunar lander,2021,2021,,,,,,,,,,,,,
content/oeuvre/printmaking/2021/stole-the-rainbow-2/index.md,stole-the-rainbow-2,stole the rainbow,2021,2021,,,,,,,,,,,,,
content/oeuvre/printmaking/2021/balance/index.md,balance,balance,2021,2021,,,,,,,,,,,,,
content/oeuvre/printmaking/2021/airlift/index.md,airlift,airlift,2021,2021,,,,,,,,,,,,,
content/oeuvre/printmaking/2021/vacation/index.md,vacation,vacation,2021,2021,,,,,,,,,,,,,
content/oeuvre/printmaking/2019/pruning/index.md,pruning,Pruning,2019,2019,,,,,,,,,,,,,
content/oeuvre/printmaking/2019/six/index.md,six,Six,2019,2019,,,,,,,,,,,,,
content/oeuvre/printmaking/2017/riot-ghost/index.md,riot-ghost,Riot Ghost,2017,2017,,,,,,,,,,,,,
content/oeuvre/printmaking/2023/astro-bee/index.md,astro-bee,Astro Bee,2023,2023,,,,,,,,,,,,,
content/oeuvre/printmaking/2023/saber-tooth-puma/index.md,saber-tooth-puma,Saber Tooth Puma,2023,2023,,,,,,,,,,,,,
content/oeuvre/printmaking/2023/bottled-oxygen/index.md,bottled-oxygen,Bottled Oxygen,2023,2023,,,,,,,,,,,,,
content/oeuvre/printmaking/2023/dayhike/index.md,dayhike,Dayhike,2023,2023,,,,,,,,,,,,,
content/oeuvre/printmaking/2023/tubed-pachydeerm/index.md,tubed-pachydeerm,Tubed Pachyderm,2023,2023,,,,,,,,,,,,,
content/oeuvre/printmaking/2023/shade-cloud/index.md,shade-cloud,Shade Cloud,2023,2023,,,,,,,,,,,,,
content/oeuvre/printmaking/2023/in-the-pines/index.md,in-the-pines,In The Pines,2023,2023,,,,,,,,,,,,,
content/oeuvre/printmaking/2023/daydream/index.md,daydream,Daydream,2023,2023,,,,,,,,,,,,,
content/oeuvre/printmaking/2023/elephant-mask-intaglio/index.md,elephant-mask-intaglio,Elephant Mask,2023,2023,,,,,,,,,,,,,
content/oeuvre/printmaking/2023/gardner/index.md,gardner,Gardner,2023,2023,,,,,,,,,,,,,
content/oeuvre/printmaking/2023/crystal-tooth-whale/index.md,crystal-tooth-whale,Crystal Tooth Whale,2023,2023,,,,,,,,,,,,,
content/oeuvre/printmaking/2022/skull/index.md,skull,Skull,2022,2022,,,,,,,,,,,,,
content/oeuvre/printmaking/2022/olympus/index.md,olympus,Olympus,2022,2022,,,,,,,,,,,,,
content/oeuvre/printmaking/2022/nogal-canyon/index.md,nogal-canyon,Nogal Canyon,2022,2022,,,,,,,,,,,,,
content/oeuvre/printmaking/2022/sunflowers/index.md,sunflowers,Sunflowers,2022,2022,,,,,,,,,,,,,
content/oeuvre/printmaking/2022/origami-beetroot/index.md,origami-beetroot,Origami Beetroot,2022,2022,,,,,,,,,,,,,
content/oeuvre/printmaking/2022/blue-corn/index.md,blue-corn,Blue Corn,2022,2022,,,,,,,,,,,,,
content/oeuvre/printmaking/2022/rocket-propelled-clovis-point-intaglio/index.md,rocket-propelled-clovis-point-intaglio,Rocket Propelled Clovis Point,2022,2022,,,,,,,,,,,,,
content/oeuvre/printmaking/2022/submerged/index.md,submerged,Submerged,2022,2022,,,,,,,,,,,,,
content/oeuvre/printmaking/2022/ghost-thugs/index.md,ghost-thugs,Ghost Thugs,2022,2022,,,,,,,,,,,,,
content/oeuvre/printmaking/2022/space-owl/index.md,space-owl,Space Owl,2022,2022,,,,,,,,,,,,,
